Q1026040	mourning
Q310192	little mac
Q310192	the young napoleon
Q310192	george b mcclellan
Q310192	george b. mcclellan
Q3116848	grizzly
Q3178826	jim hegan
Q3181380	john drainie
Q318220	abe vigoda
Q318220	abraham charles vigoda
Q318220	abraham charles vigodah
Q318220	abraham charles `` abe '' vigoda
Q3221995	the creator
Q3221995	creator
Q3221995	le créateur
Q3221995	le createur
Q3283585	live
Q3287888	spencer
Q3305977	oklahoma !
Q3305977	oklahoma
Q3334628	n
Q3350676	oliver twist
Q3372543	pilot
Q3372543	homeland pilot
Q3372915	idol
Q3372915	idol : jakten på en superstjerne
Q3393002	jesús
Q3427316	leonardo
Q3475399	angst
Q3514773	cemil bey
Q3531408	tomorrow
Q3531408	ming tian
Q3566801	wayfarer
Q3605692	wallace
Q3636904	baudelaire
Q366938	the girl from tomorrow
Q36788	abd al-malik ibn marwan
Q3685294	composition
Q36932904	shore
Q369811	antoine
Q369811	pierre-antoine muracioli
Q369811	antoine muraccioli
Q37233179	taub
Q37507038	master
Q37507038	master ( surname )
Q37507038	master ( family name )
Q3774063	grace
Q3784014	heaven
Q3808783	johan
Q3825224	dangerous
Q385561	waterloo
Q385561	waterloo , oregon
Q39082186	greatest hits
Q4097769	the boogeyman
Q4117955	ebrahim taghipour
Q41510110	anton
Q4202834	if
Q4204312	fancy
Q42326865	nick
Q42527	spice
Q42527	spices
Q42533722	coach
Q4268646	luka
Q4289006	catch me if you can
Q4313	alain de lille
Q4313	alanus ab insulis
Q4313	alan of lille
Q43216605	matteo
Q434167	ginger fish
Q434167	kenneth robert wilson
Q434682	deniece williams
Q434682	deniece `` niecy '' williams
Q43959	sunny
Q43959	tamara `` tammy '' lynn sytch
Q457369	william johnson
Q457369	sir william johnson
Q457369	sir william johnson , 1st bt .
Q45980736	universe
Q459912	pola illéry
Q459912	pola illery
Q4641671	60 minutes
Q465227	the village
Q465227	village
Q465227	the village ( film )
Q465227	the village ( 2004 film )
Q47073600	misty
Q4716070	alemayo kebede
Q4719629	alexander mcneill
Q4813467	athens andover
Q4813715	athlete
Q48264	gender identity
Q484330	benton county
Q484330	benton county , oregon
Q48444	phoenix
Q48444	phœnix
Q486239	saw
Q4876844	beast
Q48965528	magic
Q4900560	bhadran
Q4906530	big thinkers
Q4908257	bill brenzel
Q493796	here
Q496301	leni
Q4997836	bunny
Q500972	philips stadion
Q502072	macon county
Q502072	macon county , tennessee
Q50319712	hope
Q5032046	candy
Q5040302	carl held
Q5040302	karl held
Q5041974	carlos césar neves
Q5041974	carlos cesar neves
Q5083635	charles wilson
Q5083635	charles mills wilson
Q50845773	phoenix
Q51159511	homework
Q5153488	common struggles
Q5183621	creature
Q52034969	super
Q52034969	supers
Q5232749	david córdoba
Q5232749	david cordoba
Q5237075	david mallett
Q52376880	rescue
Q5248823	decay
Q52664238	the road
Q5282917	distant trumpet
Q5295	ram
Q5295	primary memory
Q529835	tamara
Q529835	tamara , casanare
Q529835	tamara , columbia
Q5307890	drive
Q5316965	dust
Q5318158	dwight garner
Q5356342	niko
Q5356342	neeko
Q5356342	isuzu nishihagi
Q5365977	ellis rimmer
Q5374021	empire
Q537743	weil
Q5419735	excuse my dust
Q5421033	experience
Q5422592	eye
Q5433022	family
Q54421486	low
Q5469329	forever
Q5494274	freakshow
Q55002526	peter
Q55003183	the mother
Q55003534	apollo
Q55011791	barak
Q55049736	father
Q55050212	blanche
Q556698	jasmin bašić
Q5608	em
Q5608	king of hip hop
Q5608	king of all hip hop
Q5608	slim
Q5608	shady
Q5628991	hawk
Q568683	age
Q575190	sullivan
Q575190	sullivan , illinois
Q5752155	hide
Q57621083	resurrection
Q5764398	the greatest hits
Q5771702	claudia
Q577975	albert lee
Q579507	the kingdom of this world
Q58012304	all about eve
Q58209826	halloween
Q58212789	colonel
Q586966	van der linden
Q586966	linden , van der
Q5872467	hits
Q5888099	home
Q5907306	hosea taylor
Q5909378	l
Q5909378	yoon
Q5909378	김명수
Q5909378	엘
Q5909378	金明洙
Q5937654	josé antonio
Q595769	muskego
Q595769	city of muskego
Q5964355	heroes
Q5975878	i am
Q6002627	martín fierro
Q6002627	martin fierro
Q6009193	in concert
Q6029979	infinity
Q60367744	terminal
Q60740463	one
Q60740509	snow
Q60978476	nasa
Q61078190	prison
Q6127937	jamelia – the collection
Q614263	xiao
Q6151078	tota alba
Q6163080	jason mcgerr
Q6172679	jedd gyorko
Q6172679	jedd lindon gyorko
Q61892777	jackson
Q61976527	temple
Q6231661	john ellis
Q626153	ghost
Q6264330	john williams
Q6264346	john williams
Q6288320	minerva
Q63215486	baby jane
Q63533693	first man
Q63535345	jo
Q63536690	teddy
Q63882569	antoine
Q63885828	mina
Q63890350	bill
Q63890398	jesse
Q63893138	freda
Q6433456	kostadin dzhambazov
Q64590236	pray
Q64590236	troll kim
Q65066836	empire
Q65386660	willie
Q65387156	philip
Q65926051	zhu
Q65926051	zhū
Q65928298	ludwig
Q662423	day camp
Q6654335	live !
Q66691953	silver
Q66718284	colosseum
Q66718284	colosseum music entertainment
Q66837108	storm
Q66837108	the storm
Q672443	civil war
Q674100	next
Q682224	hercules
Q6869371	minotaur
Q6968891	nathan barnert
Q6983583	nação zumbi
Q6983583	chico science & nação zumbi
Q7043077	no. 1
Q70624340	shine
Q7111538	out of control
Q7116409	oz
Q7142427	pass the chicken & listen
Q7142699	passion
Q7155325	paulo zucula
Q7195997	pink eye
Q72225999	murder
Q7234353	postman
Q7238961	pray for japan
Q7243068	primary colours
Q7245329	prints of darkness
Q7256978	shane maceachern
Q732013	michael moorer
Q733742	discover
Q7343666	robert dudley
Q7416920	sands of time
Q743726	hotel
Q744564	somebody to love
Q746840	thranduil
Q7495491	sherwood
Q7573671	sparkle
Q7621589	strangers
Q76244	epica
Q76244	sahara dust
Q7637422	summer school
Q7641425	sunshine
Q7646682	surrender
Q767685	in concert
Q7717071	the best of jean-luc ponty
Q7730905	dream
Q7735947	the gathering
Q7735947	gathering
Q7739396	the henry rollins show
Q7756353	the patriot
Q7760379	the return
Q7761246	the rock
Q7764674	the sky
Q7801527	tiger in the rain
Q7805027	time lapse
Q7812183	today
Q783590	fire on the amazon
Q785035	georgia
Q7857864	twice
Q78834	ignaz von plener
Q7887304	united
Q7925550	vicky vanita
Q7925550	vasiliki vanita
Q8018825	william stewart
Q8018825	william joseph stewart
Q8052732	yes
Q8056808	you
Q8070337	zhang wenzhao
Q837839	esther
Q837839	esther ( given name )
Q837839	esther ( first name )
Q840496	blas
Q840496	blas ( given name )
Q840496	blas ( first name )
Q848287	livingston
Q848287	livingston , west lothian
Q848287	baile lèibhinn
Q848287	leivinstoun
Q848287	livi
Q848287	baile dhùn lèibhe
Q848287	baile dhùnlèibhe
Q848287	baile leibhinn
Q848287	baile dhun leibhe
Q848287	baile dhunleibhe
Q85000979	esther
Q85000979	estelle
Q85000979	estelle valnor
Q850244	wellington
Q850244	vickers wellington
Q850244	wellington bomber
Q851184	endemol
Q851184	endemol group
Q85769774	into the night
Q88219006	tonight
Q89424868	the lost tape
Q9075304	sean o'hagan
Q9075304	sean ohagan
Q909375	love
Q9155974	anniversary
Q918586	oliva
Q920105	watch on the rhine
Q92106073	outside
Q934294	paris
Q934294	paris , maine
Q9355876	tattoo
Q947873	host
Q947873	hostess
Q947873	tv host
Q947873	television host
Q947873	tv presenter
Q95398889	nikola
Q95595172	the american
Q959016	amsterdam
Q96034856	laura
Q963140	lyons
Q96357589	actor
Q96357589	bloger
Q96358528	angel eyes
Q981497	sanctuary
Q981977	bells
Q982188	lake city
Q982188	lake city , usa
Q982188	lake city , texas
Q9899	amsterdam
Q9899	amsterdam municipality
Q1009356	fons
Q1017214	sheridan
Q1027165	three 6 mafia
Q1027165	three six mafia
Q10393902	wish
Q10397298	3
Q10477460	steven bozinovski
Q10570509	fear of flying
Q10570509	luft under vingerne
Q10581541	memories
Q10581925	merry christmas
Q1072699	shrek
Q107434	sioux
Q10846331	alice
Q10942703	queen
Q1096363	claude
Q1098262	pilot
Q1098262	prison break pilot
Q1102217	star trek
Q1102217	star trek films
Q11036	the rolling stones
Q11036	the stones
Q11036	rolling stones
Q11184626	white
Q11192195	believe
Q11197000	doing
Q11197631	elly
Q11197631	crazyboy
Q11201700	gorilla
Q11227891	king
Q11233976	my girl
Q11237284	one
Q11250904	the voice
Q11331861	fight
Q11385045	sano
Q1158333	ritter
Q1158388	katie
Q1158388	katie ( given name )
Q1158388	katie ( first name )
Q11588440	gion
Q11707155	conquest
Q1173229	dave henderson
Q1211705	the brady bunch movie
Q1211705	brady bunch movie
Q1222269	dieter kirchlechner
Q12397567	pereira
Q1248335	deadline
Q1249557	inocente de ti
Q1261093	richard strange
Q12654200	eva
Q12731	court
Q12731	closed
Q12731	impasse
Q12731	voie sans issue
Q1274453	michael tollin
Q1274453	mike tollin
Q12787091	colson
Q12823770	note
Q12823770	footnote or endnote
Q12823770	footnote and endnote
Q13010616	sri kommineni
Q1337564	emily
Q1338141	jesse ramsden
Q13610143	mark
Q13610143	mark ( given name )
Q13610143	mark ( first name )
Q1363683	paul horn
Q1374067	clifton
Q1374067	clifton , virginia
Q1396396	niweat siriwong
Q1402561	military leader
Q14706206	burke
Q14706206	burke ( town ) , new york
Q14706206	burke , new york
Q1492	barcelona
Q1492	bcn
Q1492	b'na
Q14949851	at the edge of the world
Q15155197	stan
Q15231777	kucd
Q152473	arad
Q15259951	obama
Q1526759	creedence clearwater revival
Q1526759	ft 506
Q1530455	vocal jazz
Q1530455	jazz singing
Q15430068	kraus
Q154573	eastern front
Q1563170	nathan bryan
Q15732965	johnny
Q15742438	crush
Q158536	petr eben
Q15939414	ziyi
Q16005	rainbow
Q16005	ritchie blackmore 's rainbow
Q16005	blackmore 's rainbow
Q16079738	william wilson
Q16150182	glenn robinson
Q1617364	dr. terror 's house of horrors
Q16233178	manny gonzalez
Q163057	david campbell
Q16479501	barney
Q16679917	thin ice
Q16859769	william morgan
Q16941208	orion
Q17028748	revival
Q17045998	nest
Q1717900	restless
Q1724723	end of the line
Q17537576	artwork
Q17537576	work of art
Q17537576	creative works
Q17537576	work
Q17537576	works
Q1757484	anthology
Q17575731	tour de force
Q1776781	maxim
Q1778168	arthur
Q1778168	arthur ( given name )
Q1778168	arthur ( first name )
Q1809719	police
Q1814703	minerva
Q18220435	ramon
Q18220435	ramon ( given name )
Q18220435	ramon ( first name )
Q1851504	the man with the rubber head
Q1851504	man with the rubber head
Q1851504	l'homme à la tête en caoutchouc
Q18551846	robin
Q18551846	robin ( surname )
Q18551846	robin ( family name )
Q18606276	dionysius
Q1882612	herman
Q1882612	herman , minnesota
Q1904340	pesquera
Q19057481	the witch
Q19057481	vvitch
Q19057481	witch
Q19057481	the vvitch
Q192707	chuck
Q195898	salem
Q195898	salem , new york
Q19597	rangers
Q19597	rfc
Q19597	the gers
Q19597	glasgow rangers
Q1965179	dundee
Q1965179	dundee , florida
Q19653769	ziyi
Q19760064	lennart
Q19760064	lennart ( given name )
Q19760064	lennart ( first name )
Q19823817	wally
Q19823817	wally ( given name )
Q19823817	wally ( first name )
Q19826472	archie
Q19826472	archie ( given name )
Q19826472	archie ( first name )
Q19829052	quicksand
Q19836268	ion
Q19900	oracle
Q19967837	dany
Q19967837	dany ( first name )
Q19967837	dany ( given name )
Q1999182	washington
Q20017798	na
Q20017798	la
Q20017798	ra
Q20017798	rha
Q20017798	rah
Q20017798	나
Q20017798	라
Q20017798	羅
Q20017798	那
Q202393	mana
Q2038025	victoria
Q2038025	victoria , minnesota
Q2038025	victoria , mn
Q2049770	carlton
Q2049770	carlton , georgia
Q20647150	dirty work
Q20813488	i am woman
Q20899467	illinois
Q2092297	eagle
Q20925541	angel
Q21055099	antonia
Q21055099	antonia , romance hongroise
Q210871	ate
Q210871	até
Q210871	ruin
Q210871	disaster
Q21152183	abandoned
Q21188723	honolulu
Q213959	sox
Q213959	red sox
Q213959	bosox
Q213959	boston americans
Q213959	redsox
Q213959	redsoxs
Q213959	redsox
Q213959	redsox
Q2142926	remember
Q2144962	fix
Q21488341	robb
Q21494341	caban
Q21694741	somerset
Q2177827	livingston
Q2177827	livingston , louisiana
Q219578	victoria cross
Q219578	vc
Q22000072	crime
Q2218001	raymond
Q2218001	town of raymond
Q2218001	raymond , wisconsin
Q22282914	und
Q2230155	lilydale
Q23020327	madam satan
Q2343434	camargo
Q2350228	twining
Q2350228	twining , michigan
Q23647059	dreams
Q23954832	higher
Q24038835	oxygen
Q242317	margaret of england
Q242317	margaret plantagenet
Q242317	margaret of england , princess of england
Q242317	princess margaret plantagenet
Q24448057	grand
Q2455937	troy
Q2479173	hugh mccracken
Q24846144	mykola
Q24869927	pianist
Q2493669	the star
Q2493669	star
Q2493669	the star
Q25096094	distance
Q25161472	forbes
Q25161472	forbes magazine
Q25161472	forbes.com
Q2516643	zenda
Q2516643	zenda , kansas
Q25207849	in the city
Q25218350	saturday
Q2537378	floyd
Q2537378	floyd , new mexico
Q2612665	rotherham
Q2612665	county
Q2612665	rcfc
Q26262635	lucas
Q263183	sportfreunde stiller
Q26420454	wisniewski
Q2642653	alexander mcnair
Q2647795	mobile
Q2661041	kin
Q2661041	kashō ike
Q2661041	kasei
Q2661041	ikeno kashō
Q2661041	kōbin
Q2661041	kashō
Q2661041	kashō ikeno
Q2661041	taiga ike
Q270821	baqubah
Q270821	baquba
Q270821	baqouba
Q2713138	unknown road
Q2731414	the distillers
Q2765	gelsenkirchen
Q27685547	dreams
Q27685547	dreams
Q27688828	dumbo
Q27688828	dumbo ( disney )
Q27924948	william burton
Q2798428	robinson
Q2798428	robinson family name
Q2798428	robinson surname
Q2798428	robinson ( family name )
Q28684507	we
Q2878435	backstage
Q28922657	baker
Q290223	arnold martignoni
Q2923946	brass
Q2923946	brass , nigeria
Q298255	rob zombie
Q298255	robert bartleh cummings
Q2996950	abandoned
Q3024144	arab
Q30600074	leader
Q3085	reutlingen
Q30923680	the writer
Q3099718	ivan trabalík
Q3099718	ivan trabalik
Q3116052	greco
Q3161563	jamiel hasson
Q3161563	elias amin el khayatt from zahle lebanon aka ( jamiel hasson )
Q3178613	the lonely man
Q3178613	lonely man
Q3195873	keys
Q3278008	heat
Q3282474	pac-man vs .
Q3284388	call of duty : modern warfare 3 : defiance
Q32947	santa
Q32947	dongxiang language
Q32947	dongxiang
Q32947	santa language
Q3312459	san luis
Q33131	nothing like the holidays
Q3392091	play on
Q3403465	princess
Q3428581	william buick
Q3452843	clyde
Q3452843	clyde , new york
Q3460835	zombie zombie
Q3481761	sheila larken
Q3522205	the people
Q3542556	chronicles
Q3547695	mirage
Q358753	milcho leviev
Q3611745	alien
Q3612094	kaisu leppänen
Q3640383	birth
Q36611	gorilla
Q36611	gorilla genus
Q367276	stevie
Q3709221	collins
Q3709221	collins , new york
Q3715927	due
Q3740023	fat
Q37538140	evelyn
Q37890973	steve
Q38	italy
Q38	italia
Q38	italian republic
Q38	it
Q38	it
Q38	🇮🇹
Q38	ita
Q3809570	john reuben
Q3833342	lisa
Q3833342	annalisa panetta
Q3833342	lisa ( cantante italiana )
Q3843863	male
Q390341	beverly hills chihuahua
Q390341	south of the border
Q39071248	andy
Q39291804	nikita
Q39291804	никита
Q39291804	ники́та
Q39971	gela
Q400985	missing
Q401836	edmund
Q401836	edmund ( given name )
Q401836	edmund ( first name )
Q4040458	vision
Q4040458	vision engine
Q4040458	havok vision
Q4040458	vision ( game engine )
Q4204437	diamonds
Q42309890	officer
Q42344683	scott
Q42418964	victor
Q4245005	lev kuznetsov
Q4245005	lev vladimirovich kuznetsov
Q42531522	bob
Q42532445	harmony
Q428073	smile
Q42889528	roscoe
Q4373735	nobels testamente
Q4442293	step
Q446499	darling
Q44703076	martin
Q452955	gene taylor
Q452955	gary eugene taylor
Q4530918	electronic
Q4530918	elektronic
Q4652762	am
Q4659723	a sound of thunder
Q4663366	abandoned
Q4698742	airline
Q4757512	andrew johnson
Q4757515	andrew johnson
Q4757633	andrew kline
Q4761865	ang panday 2
Q4761865	panday ang ikalawang yugto
Q4769550	anniversary
Q4775653	anton arcane
Q4785572	archangel
Q47912	lung cancer
Q47912	malignant lung tumor
Q47912	malignant neoplasm of lung
Q48746783	domenica
Q4877868	beauty
Q48785167	in europe
Q488	atomic bombings of hiroshima and nagasaki
Q4883586	belle
Q48939	city
Q48939	the grecians
Q48939	ecfc
Q491094	crossing
Q491094	keurosing
Q4926236	blessed
Q4964995	wilma
Q4964995	wilma ( given name )
Q4964995	wilma ( first name )
Q50078600	the director
Q502468	warren county
Q502468	warren county , new jersey
Q505431	michael vick
Q505431	michael dwayne vick
Q5068881	challenge
Q5087086	chase
Q5087086	chase
Q5097415	chikezie
Q511277	the fabulous thunderbirds
Q51236389	/
Q51236389	root path
Q51394	andrés
Q51394	andrés ( ricolás )
Q5165815	control
Q5229854	dave smalley
Q5243085	daybreak
Q5258951	dennis sherrill
Q5268422	dexter mccleon
Q5299915	double trouble
Q5307892	drive
Q534932	key
Q534932	musical key
Q534932	key ( music )
Q53873159	edward thomas
Q54034175	entertainer
Q542285	gamble
Q542285	la partita
Q5433668	fancy
Q5446051	fever
Q5447723	fight
Q54971819	eldorado
Q55000270	pedro
Q5504143	friends
Q55047711	the stranger
Q5525632	gary muir
Q55573054	the dark
Q55573054	dark
Q5580552	golf
Q5582927	good shepherd
Q5596070	grant
Q5596070	grant , monroe county , wisconsin
Q5611513	grover
Q5611513	grover , taylor county , wisconsin
Q561862	general
Q5620330	guru
Q56349170	idea
Q5636873	habit
Q5655089	hard
Q5671349	harry o'neill
Q5692787	heartland
Q5747039	cancer
Q58112908	colonel
Q5888118	home
Q590790	mccarthy
Q590790	shushanna junction
Q590790	mccarthy , alaska
Q590790	mccarthy , ak
Q5917373	how about now
Q59391568	danny
Q60132493	robin
Q60292022	v
Q60748432	journey
Q60787636	in style
Q60823389	nothing
Q61134843	besa
Q612829	stryker
Q61317	yell county
Q61317	yell county , arkansas
Q61650479	goalkeeper
Q61650479	bandy goalkeeper
Q61663034	heaven
Q61878015	afonso
Q61933398	little girl
Q620100	leader
Q6250563	john noble
Q6251268	john olufemi
Q6270159	joly
Q6270159	joly , ontario
Q630596	guitar hero : aerosmith
Q63143748	mother
Q63346002	beloved
Q63533127	eros
Q63537765	francesca
Q63762654	jan
Q63762737	rose
Q6377509	katie mcgregor
Q63882300	chad
Q63883828	homer
Q63885945	simon
Q63887581	luisa
Q63888700	ben
Q63890130	barlow
Q63891663	albert
Q63891953	dieter
Q6416883	kiss
Q64692305	highland
Q64849454	isabel
Q64861507	joel
Q65065770	surrender
Q65065962	superstar
Q6517712	legend
Q6517712	the four crystals of trazere
Q65386652	emma
Q65718139	frankenstein
Q65923193	brotherhood
Q65923193	la hermandad
Q66007050	the message
Q66103377	river
Q66622340	constance
Q6722042	none
Q677016	anthony fasano
Q677016	anthony joseph fasano
Q6810622	mel
Q6945945	my love
Q6946471	my summer with des
Q69877651	wesley
Q69877651	wesley david de oliveira andrade
Q7019297	news
Q7045339	noah
Q7098804	optical
Q71243	the king
Q71243	the king of hollywood
Q71243	william clark gable
Q7174638	peter herdic
Q7233389	possession
Q7332478	ride
Q734098	sebastian
Q734098	sebastian akchoté-bozovic
Q734098	sebastian
Q734098	sebastian akchote-bozovic
Q7352499	robin hood
Q7387496	s. gill
Q7430259	athletic
Q7430259	safc
Q7442007	seaton carew
Q7460774	shadows
Q746709	tara
Q746709	tara ( buddhism )
Q748194	twilight
Q7514352	silence
Q757499	breathing
Q7578430	splatter university
Q7578901	spoken
Q7586419	srinagar kitty
Q7613840	steve sandalis
Q7620981	straight
Q7629870	styx yesterday & today
Q7726945	comic
Q7738863	the hard way
Q7755007	the one
Q7760250	rescue
Q7772975	the voice
Q7812178	today
Q7814726	tom
Q7819905	tommy taylor
Q7880430	ultra baseball jitsumeiban
Q793290	beregond
Q7940047	volcano
Q7950793	winn
Q7964277	walter beasley
Q8030745	woman on the night train
Q8035147	workshop
Q80696001	leader
Q81571	pascal
Q81571	pascal-xsc
Q8215518	siddiq barmak
Q84129973	first man
Q84314538	daniel
Q84314538	daniel lima de castro
Q84468732	over
Q849429	underworld
Q849429	rick smith
Q851921	shun tono
Q85800581	shaft in africa
Q86169920	almost human
Q867863	claude
Q887401	bo jackson
Q887401	vincent edward jackson
Q887401	vincent edward `` bo '' jackson
Q89190561	herman
Q905954	sigmund
Q905954	sigmund ( given name )
Q905954	sigmund ( first name )
Q90805862	composition
Q92400040	heart
Q9250291	eden
Q955151	butler
Q961665	the gospel
Q961665	gospel
Q96379855	grant
Q96639397	daybreak
Q971492	me and the colonel
Q988159	southfield
Q988159	southfield , michigan
Q10320389	lucy
Q10374827	sunshine
Q10444667	celine
Q1052727	mucc
Q1052727	mucc
Q1056006	massachusetts
Q1056006	( the lights went out in ) massachusetts
Q1056757	cesare canevari
Q1057003	the rev
Q1058003	bille woodruff
Q1069932	basin
Q1069932	undersea basin
Q1069932	submarine basin
Q1069932	ocean basin
Q10843263	hockey player
Q108700	whig
Q108700	british whigs party
Q108700	whig party
Q10871364	baseball player
Q110462	julie delpy
Q11056344	chao
Q11060201	xi
Q11227470	kamikaze
Q11230039	liberty
Q1129381	x-files
Q1129381	the x-files : fight the future
Q11314406	seven
Q11314406	animetion studio seven
Q1134087	1+9+8+2
Q1145732	sleepers
Q1158284	heinz
Q1180317	mystery
Q11852432	are
Q1189030	liverpool
Q1189030	liverpool , pennsylvania
Q1192823	cop
Q11985293	evolution
Q12021416	idea
Q129129	dust
Q1293125	newton
Q13258171	alex
Q13258171	alex ( first name )
Q13258171	alex ( given name )
Q1328257	elephenor
Q13380371	henri
Q13393265	basketball team
Q13393265	basketball club
Q1340629	maurycy mochnacki
Q13494453	chrysalis
Q1368195	second baseman
Q1368195	2b
Q1384594	cuba
Q1405838	the europeans
Q1405838	europeans
Q1416004	paradise
Q143419	monkey
Q143419	blitz basic
Q1442301	steve forrest
Q1478197	russian football
Q1478197	russian soccer
Q1478197	russian association football
Q14863671	chat
Q14863671	choactase
Q14863671	cms1a
Q14863671	cms1a2
Q14863671	cms6
Q14863671	choline o-acetyltransferase
Q15103021	a
Q15126585	heart like a hand grenade
Q15171	arp
Q1535980	shadows
Q15430688	director
Q15430688	entertainment industry
Q1585	georg ohm
Q15856286	craig borten
Q15865352	anna
Q158952	catwoman
Q158952	selina kyle
Q158952	the cat
Q158952	irena dubrovna
Q15912223	benji
Q15972146	lovers
Q15972146	une autre vie
Q16019273	ranil abeynaike
Q16028393	desert
Q16148685	v
Q16148685	v franchise
Q16240869	berkeley everett
Q16242398	wong
Q1630803	hotel
Q163490	sidon
Q1636184	victoria
Q1646629	inside job
Q1650716	porter
Q1650716	doorman
Q1650716	doorwoman
Q1650716	doormen
Q1650716	doorwomen
Q1650716	doorperson
Q1650716	doorpersons
Q1650716	porters
Q1650716	doorkeepers
Q16562631	jenny
Q16616078	together
Q167059	raphael maitimo
Q167059	raphael guillermo eduardo maitimo
Q16746188	family
Q16799105	alberto
Q16799105	alberto ( given name )
Q16799105	alberto ( first name )
Q16835232	die young
Q16844847	hot
Q16850125	island
Q16869401	dance
Q16870314	grimes
Q16874769	room
Q16968275	live in america
Q16992029	the fall of the house of usher
Q16992029	fall of the house of usher
Q16995733	home
Q17020539	re-mit
Q17050564	hits
Q17066605	twisted
Q17066605	twisted ( everyday hurts )
Q1707018	the simpsons arcade game
Q17112930	empire
Q17218514	message
Q17229386	dream
Q17494560	asher
Q17494560	asher ( first name )
Q17494560	asher ( given name )
Q1753261	saved
Q1756195	burial
Q17629554	england
Q17762966	cut
Q1785854	mysteries
Q18170005	drift
Q1821334	let 's go
Q18216836	custer
Q18325135	felix
Q18391251	mother
Q18391251	mámi
Q18394175	revenge
Q18394378	walls
Q18394378	walls ( surname )
Q18462825	champagne
Q185029	first-person shooter
Q185029	fps
Q185029	first person shooter video games
Q1859406	loma
Q1859406	loghoma
Q1859406	looma
Q1859406	lorma
Q1859406	toma
Q187109	linden
Q187109	linden , westerwaldkreis
Q1881006	franklin
Q1881006	franklin , iowa
Q188205	george armstrong custer
Q188205	george custer
Q188205	george a. custer
Q188205	general custer
Q1896456	barnett township
Q1911	olivier giroud
Q1911	olivier jonathan giroud
Q1938731	original sin
Q1951626	hungry
Q19571348	the big knife
Q19828530	dwayne
Q19828530	dwayne ( given name )
Q19828530	dwayne ( first name )
Q1985331	aria
Q1989792	bassirou dembélé
Q1989792	bassirou dembele
Q19926412	delivery
Q19975239	robert smith
Q200000	dune
Q2057069	choice
Q2057069	le choix
Q205846	double trouble
Q2061339	shootmania
Q2061339	shootmania : storm
Q2065085	san antonio
Q2065085	san antonio , usa
Q2065085	san antonio , florida
Q2069873	doll
Q20740943	daddy
Q20755999	candy
Q2084080	marco iván pérez
Q2084080	marco ivan perez
Q2092949	francesco carratta
Q20996018	court
Q2123700	günther vanaudenaerde
Q21285778	cícero
Q21285778	cícero ( first name )
Q21285778	cícero ( given name )
Q21448697	ekman
Q21450899	kramarenko
Q21493593	berman
Q21527765	inheritance
Q21527783	the journey
Q21527783	journey
Q215308	giulio caccini
Q2158832	robert smith
Q2180046	creed
Q21802675	adventure
Q21802675	adventure genre
Q219656	macon
Q219656	macon , georgia
Q22000751	marriage
Q22043170	revival
Q2221201	last forever
Q2252768	cult
Q22926516	rolle
Q2299344	the stepfather
Q2299344	stepfather
Q23000140	nancy
Q2319200	trenton
Q2346217	a busy day
Q2346217	busy day
Q235858	folk music
Q23599481	bouvier
Q2360705	camargo
Q237207	kathleen kennedy
Q23771029	east
Q2399434	astronomer
Q2411068	the end
Q2415879	granville
Q24211142	children of god
Q2463880	wizard
Q248713	usa
Q24884149	bed
Q24884149	le plumard en folie
Q24884149	bedmania
Q25096430	climax
Q25096585	songs from the heart
Q2519591	sterling
Q2519591	sterling , nebraska
Q2529576	live !
Q25413564	chrysalis
Q2570981	corinth
Q2570981	corinth , kentucky
Q2602697	paranoid
Q26039	toxic
Q2613298	heartland
Q26736516	leslie
Q26904362	margaret
Q269472	walls
Q269472	walls , mississippi
Q2701232	ken jay
Q2701232	kenneth lacey
Q2721706	kalifa cissé
Q2721706	kalifa cisse
Q2727213	theft
Q2727213	stealing
Q2727213	thievery
Q2727213	thieving
Q2727213	heist
Q2735998	villains
Q27454563	tai
Q27809859	fischer
Q27825257	marcos
Q27887580	from
Q2819792	a live
Q28223925	monster
Q284503	murakami
Q28646096	stay
Q2866956	assassin
Q28739715	identity
Q2883729	deborah wells
Q28843045	tony harrison
Q28864139	john noble
Q2905403	live
Q29167700	alex
Q29168338	leonard
Q2919393	tea
Q29566335	texas
Q29614795	gaynor
Q2965249	christian fabrice okoua
Q3011754	daddy
Q3025671	lincoln
Q3025671	lincoln , michigan
Q3053973	heine fernandez
Q30597507	broken
Q30600056	the concert
Q30600056	concert
Q3082890	frankenstein
Q31192643	nina
Q3126725	hands
Q320873	august starek
Q323227	ricochet
Q3281168	the cult
Q3287017	canton
Q3287017	canton , oklahoma
Q330159	pepe marchena
Q330159	josé tejada martin
Q330159	niño de marchena
Q331182	william l. dayton
Q332515	others
Q333834	jim griffiths
Q333834	james griffiths
Q338754	control
Q338754	psychological control
Q338754	control in psychology
Q3426	voronezh
Q3426	voronezh , russia
Q3426	voronezh , voronezh oblast
Q3486286	skin
Q3500046	stranger
Q3604808	action
Q361	world war i
Q361	world war one
Q361	ww1
Q361	world war 1
Q361	world war
Q361	the first world war
Q361	1st world war
Q361	the 1st world war
Q361	ww i
Q361	the great war
Q361	ww 1
Q361	world war , 1914-1918
Q361	great war
Q361	wwi
Q361	the war to end all wars
Q361	first world war
Q3721003	el salvador
Q37564863	reddy
Q377347	disco
Q37944813	lisa
Q37944813	jon snow - ( jinete )
Q3794597	the marriage of figaro
Q3809986	ryan
